"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean","unemp_mean","sector"
"30","BKR",-0.0193,0,"7.38","-3.51","2001",4.4,4.5,"Energy"
"31","BALL",0.0141,0,"6.72","3.11","2001",4.4,4.5,"Industrials"
"32","BAC",0.0416,1,"6.27","2.82","2001",4.4,4.5,"Finance"
"33","BBWI",0.0042,0,"15.72","-4.09","2001",4.4,4.5,"Miscellaneous"
"34","BAX",0.014,0,"3.76","2.22","2001",4.4,4.5,"Health Care"
"35","BDX",4e-04,0,"4.52","0.89","2001",4.4,4.5,"Health Care"
"36","BBY",0.1798,1,"32.94","8.3","2001",4.4,4.5,"Consumer Discretionary"
"37","BIIB",0.0319,1,"17.99","0.14","2001",4.4,4.5,"Health Care"
"38","BK",-0.0296,0,"6.74","-4.4","2001",4.4,4.5,"Finance"
"39","BA",-0.0315,0,"13.11","-5.29","2001",4.4,4.5,"Industrials"
"40","BKNG",0.3046,1,"47.49","17.82","2001",4.4,4.5,"Consumer Discretionary"
"41","BXP",-0.0089,0,"3.5","-0.82","2001",4.4,4.5,"Real Estate"
"42","BSX",0.0418,1,"12.9","5.03","2001",4.4,4.5,"Health Care"
"43","BMY",-0.0222,0,"7.03","-1.38","2001",4.4,4.5,"Health Care"
"44","CHRW",4e-04,0,"6.56","-0.56","2001",4.4,4.5,"Consumer Discretionary"
"45","CPB",-0.0143,0,"5.91","-1.75","2001",4.4,4.5,"Consumer Staples"
"46","COF",0.0031,0,"9.84","-2.35","2001",4.4,4.5,"Finance"
"47","CAH",0.0148,0,"4.49","1.36","2001",4.4,4.5,"Health Care"
"48","CCL",0.0056,0,"13.36","-1.69","2001",4.4,4.5,"Consumer Discretionary"
"49","CAT",0.0165,0,"8.95","0.05","2001",4.4,4.5,"Industrials"
"50","CNP",-0.0403,0,"12.55","-3.76","2001",4.4,4.5,"Utilities"
"51","SCHW",-0.0313,0,"15.19","-7.34","2001",4.4,4.5,"Finance"
"52","CVX",0.0054,0,"4.81","0.05","2001",4.4,4.5,"Energy"
"53","CI",-0.0421,0,"6.18","-4","2001",4.4,4.5,"Health Care"
