"","symbol","avg_return","Volatility"
"76","GIS",-2e-04,0.0530180115628221
"77","FISV",-3e-04,0.107064612014127
"78","LKQ",-6e-04,0.138640421764877
"79","CSX",-7e-04,0.117668686730506
"80","NUE",-8e-04,0.136475223597425
"81","JPM",-9e-04,0.148910493768197
"82","BSX",-9e-04,0.143903298213179
"83","SHW",-0.001,0.0950993957994257
"84","KSS",-0.0011,0.107192799521054
"85","CTSH",-0.0012,0.114560843781746
"86","LEG",-0.0013,0.126363009768393
"87","PM",-0.0013,0.0815386388841103
"88","CTXS",-0.0014,0.112769303042076
"89","LH",-0.0015,0.0644586902331366
"90","TPR",-0.0016,0.179787577812054
"91","MA",-0.0016,0.126550387873347
"92","MAA",-0.0016,0.125801725550615
"93","CL",-0.0016,0.0683396390834273
"94","ICE",-0.0017,0.175321190968729
"95","RL",-0.0018,0.148954394816404
"96","UNP",-0.0019,0.11204596191964
